review_id,content,rating,date,image_urls
53576661316421,"খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালিটি। চার্জ ও ভালো টিকে, লুক ও ভালো। কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়। ",5,21 May 2025,https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_a16a031fd6634aeaa99554541f321f58.jpg; https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_8c8b502b0dc147bd8d8ef50baeb1a179.jpg; https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_fa80571792bf46a683ae0a6c88cdf1a7.jpg
52724795316421,নষ্ট প্রোডাক্ট দিছে। বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না। প্যাকেজিং ও বাজে ছিলো। প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড। এখন রিটার্ন করা ছাড়া উপাই নাই। ,5,11 Mar 2025,
52702994116421,"  আলহামদুলিল্লাহ্। যেমন চেয়েছি তেমনই পেয়েছি 
এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো
সবাই নিতে পারেন  ",5,10 Mar 2025,https://lzd-u.slatic.net/b084be75c2044dc494a7dd56e6ae218a_1_1741585586.954451.jpg
52571640616421,"পরীক্ষামূলক দৃষ্টিকোণ থেকে দেখতে চেয়েছিলাম সস্তার মধ্যে হেডফোন গুলো কেমন হয়। যা বুঝলাম কোয়ালিটি তেমন‌ই হয় যেমনটা তার দাম‌ হয়। অল্প কিছু অতিরিক্ত
টাকা খরচ করে আরও ভালো নেওয়ার পরামর্শ থাকবে সবার প্রতি ",5,27 Feb 2025,https://lzd-u.slatic.net/b37252f0eb334d28bd817272beb2fe9a_a015bfb887e34e12809acf7596974c5f.jpg
52597766016421,"it's nice , but charging beshikhon thake na , tana onkkhon use Korte parben na , r ektu loose , grip vlo na atkanor ",5,02 Mar 2025,https://lzd-u.slatic.net/6fd87bca75214ada90079c92aa5eea40_ea656b95cd894f11bfbe28516bec3672.jpg; https://lzd-u.slatic.net/6fd87bca75214ada90079c92aa5eea40_324edd1006f149f3a06ce7a8aa393911.jpg
53392045716421,"খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে। ",5,05 May 2025,https://lzd-u.slatic.net/040211f9bcb14a95883d8629871828d0_a46730e9212c4e90ae8dccf5ff8ed6fb.jpg
54826942616421,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম। অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন ✅ ,5,1 week ago,https://lzd-u.slatic.net/dd1ba22d7a2f427dbc4d76ca5801550c_b1ecac2f369e4ef59ab297ecf3fdf6b8.jpg
53860378216421,"ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে। আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে। তাই রেটিং কম দিলাম 😅। ",4,15 Jun 2025,https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_7894ee1dd7a84f57bdb7541899d83f94.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_c38b343646c14115ae8704fa7f1a46f9.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_40537bb0e3554a41b0ad0ae3a03a6aa2.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_cb1cc60fce804575b2c0d97f5926d74b.jpg
52751081516421,"যথেষ্ট ভালো প্রডাক্ট,,,  সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ  কম থাকে😴।   টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো।  

চাইলে নিতে পারেন,,😘 ",5,13 Mar 2025,https://lzd-u.slatic.net/c963b2fd89ef47aa8de1f2fb6ba2e312_d75d86469e3e49e98d95034278f2e91c.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_b88a4aadd0d3485982d8741bf50b9bf5.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_de46fc1a564f46a997aae4fa56d90fa3.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_c3d9479276b64b9382d068e47362e688.jpg
53287127316421,"সময় মত ডেলিভারি পাইছি। product ঠিক ছিল। রাইটারের ব্যবহার ভালোই ছিল।ওটা কে অসাধারণ বাজেট হিসেবে ঠিকই আছে, এর চেয়ে ভালো কিছু আশা করা যায় না। ধন্যবাদ আজকে অল্প মূল্যে  অথেনটিক প্রোডাক্ট দেওয়ার জন্য।   ",5,26 Apr 2025,https://lzd-u.slatic.net/8f2953cc0f5e41ebb637a690f0fa3973_6fcc06251b54474da33fcf65692daac4.jpg
52384570516421,আলহামদুলিল্লাহ অনেক ভালো সাউন্ড । সাউন্ড কোয়ালিটি অনেক ভালো। কিন্তু গেমের মুড কিভাবে অন করব প্লিজ কেউ জানান please এবং কতটুকু চার্জ আছে তা সঠিক দেখাই না। ,4,11 Feb 2025,https://lzd-u.slatic.net/dea9785181a34129b30d3f9cada1b746_26abbf9456b44180b4cd0943c026f6d3.jpg; https://lzd-u.slatic.net/67d93c4ffd4247b9b9e1dfde79cc8d3a_b7be02a6f3b649a4b42839457582d476.jpg
52125341416421,আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন কোন সমস্যা নাই এই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি আমার হাতে পেয়েছি হাতে পেয়ে দেখলাম অনেক ভালো  ,5,19 Jan 2025,https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_80c18bbdbd4b435eb8b0ef80bb5eec75.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_ec6aef7669f0460ebe1d0145cda86294.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_d6890cb2aaed4f2c99e45a3eeb764310.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_e58aaf3a9d5946f2a1ee18f4bf76aa4c.jpg
52834515016421,"এর মতোন বাজ পোডাক্ট এর আগে কখনও দেখিনি 
১৫০ টাকার হেডফোন ৩-৪ ঘণ্টা চার্জ থাকে এটা ৩ মিনিট ও থকে না
৫ ষ্টার দিলাম জাতে সবাই দেখে ",5,22 Mar 2025,https://lzd-u.slatic.net/411ddd365dc046e19c2ac16417e41ce6_1_1742640684.682218.jpg
