review_id,original_text,cleaned_text,label,sentiment,aspects,aspect_polarities
53576661316421,"খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালিটি। চার্জ ও ভালো টিকে, লুক ও ভালো। কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়।","খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালি টি । চার্জ ও ভালো টিকে , লুক ও ভালো । কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায় ।",product_quality_positive,Positive,Product Quality,"{""Product Quality"": ""positive""}"
52724795316421,নষ্ট প্রোডাক্ট দিছে। বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না। প্যাকেজিং ও বাজে ছিলো। প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড। এখন রিটার্ন করা ছাড়া উপাই নাই।,নষ্ট প্রোডাক্ট দিছে । বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না । প্যাকেজিং ও বাজে ছিলো । প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড । এখন রিটার্ন করা ছাড়া উপাই নাই ।,packaging_negative#product_quality_negative,Negative,"Packaging, Product Quality","{""Packaging"": ""negative"", ""Product Quality"": ""negative""}"
52702994116421,"আলহামদুলিল্লাহ্। যেমন চেয়েছি তেমনই পেয়েছি 
এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো
সবাই নিতে পারেন",আলহামদুলিল্লাহ্ । যেমন চেয়েছি তেমনই পেয়েছি এবং ডেলিভারি ম্যান ভাই টি অনেক ভালো ছিলো সবাই নিতে পারেন,delivery_positive#product_quality_positive,Positive,"Delivery, Product Quality","{""Delivery"": ""positive"", ""Product Quality"": ""positive""}"
53392045716421,"খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে।","খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালি টি ভালোই ছিল , এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে ।",price_positive#product_quality_positive,Positive,"Price, Product Quality","{""Price"": ""positive"", ""Product Quality"": ""positive""}"
54826942616421,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম। অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন ✅,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালি টি ও কম । অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন,product_quality_neutral,Neutral,Product Quality,"{""Product Quality"": ""neutral""}"
53860378216421,"ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে। আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে। তাই রেটিং কম দিলাম 😅।","ভাই এটা অনেক ভালো ছিল , কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে । আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারি টা অনেক লেট হয়েছে । তাই রেটিং কম দিলাম ।",delivery_negative#product_quality_positive,Neutral,"Delivery, Product Quality","{""Delivery"": ""negative"", ""Product Quality"": ""positive""}"
52751081516421,"যথেষ্ট ভালো প্রডাক্ট,,,  সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ  কম থাকে😴।   টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো।  

চাইলে নিতে পারেন,,😘","যথেষ্ট ভালো প্রডাক্ট , সাউন কয়ালি টি ও ডারুন , , কিন্তু চার্জ কম থাকে । টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় , , এর ছাড়া ও প্রড্যক্ট ভালো । চাইলে নিতে পারেন , ,",product_quality_positive,Positive,Product Quality,"{""Product Quality"": ""positive""}"
52125341416421,আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন কোন সমস্যা নাই এই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি আমার হাতে পেয়েছি হাতে পেয়ে দেখলাম অনেক ভালো,আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন কোন সমস্যা নাই এই প্রোডাক্ট টি পাঁচ দিনের মাথায় আমি আমার হাতে পেয়েছি হাতে পেয়ে দেখলাম অনেক ভালো,delivery_negative#product_quality_positive,Neutral,"Delivery, Product Quality","{""Delivery"": ""negative"", ""Product Quality"": ""positive""}"
52834515016421,"এর মতোন বাজ পোডাক্ট এর আগে কখনও দেখিনি 
১৫০ টাকার হেডফোন ৩-৪ ঘণ্টা চার্জ থাকে এটা ৩ মিনিট ও থকে না
৫ ষ্টার দিলাম জাতে সবাই দেখে",এর মতোন বাজ পোডাক্ট এর আগে কখন ও দেখিনি ১৫০ টাকার হেডফোন ৩-৪ ঘণ্টা চার্জ থাকে এটা ৩ মিনিট ও থকে না ৫ ষ্টার দিলাম জাতে সবাই দেখে,product_quality_negative,Negative,Product Quality,"{""Product Quality"": ""negative""}"
53821031516421,"জিনিস ভালই সুন্দর আছে জেহুতু গেমিং এর জন্য চাইলে নিতে পারেন।  আর এটা সুধু নামেই গেমিং কিন্তু  কাজে না এটা সাধরন এয়ারবাসের মতই এতে আলাদা কুনো গেমিং মড নাই।  ৩৪৫টাকায় ভালই। আর একটা কথা ১০০টা মাল কিনলে ৮০টাতেই পবলেম থাকে। যেমন আমারটা ডান কানের টার ২০-৩০ ছেগেনটের বেসি চলত না। তাই আমার আগের এয়ারবাসের বেটরি এড করেছি এরপর ভালই ব্যকাব দিচ্ছে ।  ৭দিন ইওজ কারার পর রিভিও দিলাম।   
    আল্লাহাফেজ ❤️‍🩹",জিনিস ভালই সুন্দর আছে জেহুতু গেমিং এর জন্য চাইলে নিতে পারেন । আর এটা সুধু নামেই গেমিং কিন্তু কাজে না এটা সাধরন এয়ারবাসের মতই এতে আলাদা কুনো গেমিং মড নাই । ৩৪৫টাকায় ভালই । আর একটা কথা ১০০ টা মাল কিনলে ৮০টাতেই পবলেম থাকে । যেমন আমার টা ডান কানের টার ২০-৩০ ছেগেনটের বেসি চলত না । তাই আমার আগের এয়ারবাসের বেটরি এড করেছি এরপর ভালই ব্যকাব দিচ্ছে । ৭দিন ইওজ কারার পর রিভি ও দিলাম । আল্লাহাফেজ,product_quality_positive,Positive,Product Quality,"{""Product Quality"": ""positive""}"
