id,review_id,original_text,text,label
1,53576661316421,"খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালিটি। চার্জ ও ভালো টিকে, লুক ও ভালো। কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়।","খুব ভালো একটি প্রোডাক্ট ভালো সাউন্ড কোয়ালিটি চার্জ ও ভালো টিকে, লুক ও ভালো কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়.",product_quality_positive
2,52724795316421,নষ্ট প্রোডাক্ট দিছে। বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না। প্যাকেজিং ও বাজে ছিলো। প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড। এখন রিটার্ন করা ছাড়া উপাই নাই।,নষ্ট প্রোডাক্ট দিছে বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না প্যাকেজিং ও বাজে ছিলো প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড এখন রিটার্ন করা ছাড়া উপাই নাই.,packaging_negative#product_quality_negative
3,52702994116421,"আলহামদুলিল্লাহ্। যেমন চেয়েছি তেমনই পেয়েছি 
এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো
সবাই নিতে পারেন",আলহামদুলিল্লাহ্ যেমন চেয়েছি তেমনই পেয়েছি এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো সবাই নিতে পারেন.,delivery_positive#product_quality_positive
4,52597766016421,"it's nice , but charging beshikhon thake na , tana onkkhon use Korte parben na , r ektu loose , grip vlo na atkanor","it's nice , but charging beshikhon thake na , tana onkkhon use Korte parben na , r ektu loose , grip vlo na atkanor.",product_quality_positive
5,53392045716421,"খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে।","খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে.",price_positive#product_quality_positive
6,54826942616421,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম। অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন ✅,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন.,product_quality_neutral
7,53860378216421,"ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে। আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে। তাই রেটিং কম দিলাম 😅।","ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে তাই রেটিং কম দিলাম.",delivery_negative#product_quality_positive
8,52751081516421,"যথেষ্ট ভালো প্রডাক্ট,,,  সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ  কম থাকে😴।   টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো।  

চাইলে নিতে পারেন,,😘","যথেষ্ট ভালো প্রডাক্ট,, সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ কম থাকে টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো চাইলে নিতে পারেন,,.",product_quality_positive
9,53287127316421,"সময় মত ডেলিভারি পাইছি। product ঠিক ছিল। রাইটারের ব্যবহার ভালোই ছিল।ওটা কে অসাধারণ বাজেট হিসেবে ঠিকই আছে, এর চেয়ে ভালো কিছু আশা করা যায় না। ধন্যবাদ আজকে অল্প মূল্যে  অথেনটিক প্রোডাক্ট দেওয়ার জন্য।","সময় মত ডেলিভারি পাইছি product ঠিক ছিল রাইটারের ব্যবহার ভালোই ছিল ওটা কে অসাধারণ বাজেট হিসেবে ঠিকই আছে, এর চেয়ে ভালো কিছু আশা করা যায় না ধন্যবাদ আজকে অল্প মূল্যে অথেনটিক প্রোডাক্ট দেওয়ার জন্য.",delivery_positive#price_positive#product_quality_positive
10,52384570516421,আলহামদুলিল্লাহ অনেক ভালো সাউন্ড । সাউন্ড কোয়ালিটি অনেক ভালো। কিন্তু গেমের মুড কিভাবে অন করব প্লিজ কেউ জানান please এবং কতটুকু চার্জ আছে তা সঠিক দেখাই না।,আলহামদুলিল্লাহ অনেক ভালো সাউন্ড সাউন্ড কোয়ালিটি অনেক ভালো কিন্তু গেমের মুড কিভাবে অন করব প্লিজ কেউ জানান please এবং কতটুকু চার্জ আছে তা সঠিক দেখাই না.,product_quality_positive
